latent_topic_0,latent_topic_1,latent_topic_2,latent_topic_3,latent_topic_4,latent_topic_5,latent_topic_6,latent_topic_7,latent_topic_8
0.0,0.247,0.0,0.0,0.0,0.0,0.124,0.0,0.0
0.0,0.239,0.0,0.0,0.0,0.0,0.185,0.247,0.0
0.048,0.291,0.009,0.0,0.0,0.0,0.214,0.059,0.035
0.299,0.0,0.283,0.381,0.17,0.0,0.136,0.048,0.0
0.0,0.0,0.293,0.0,0.002,0.0,0.0,0.0,0.0
0.249,0.0,0.235,0.005,0.0,0.567,0.0,0.0,0.0
0.398,0.0,0.176,0.003,0.259,0.007,0.0,0.009,0.301
0.003,0.249,0.0,0.0,0.0,0.596,0.0,0.0,0.0
0.0,0.262,0.0,0.013,0.326,0.0,0.145,0.0,0.025
0.153,0.0,0.219,0.0,0.25,0.246,0.0,0.0,0.396
0.0,0.259,0.0,0.0,0.112,0.0,0.0,0.0,0.086
0.004,0.032,0.296,0.0,0.338,0.0,0.035,0.0,0.028
0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.218,0.0,0.03,0.0,0.0,0.285,0.541
0.0,0.254,0.0,0.0,0.0,0.0,0.022,0.0,0.0
0.06,0.314,0.046,0.0,0.0,0.0,0.12,0.081,0.036
0.0,0.257,0.0,0.0,0.114,0.0,0.0,0.228,0.065
0.0,0.302,0.035,0.0,0.0,0.0,0.036,0.22,0.166
0.0,0.033,0.298,0.0,0.0,0.0,0.032,0.229,0.0
0.0,0.0,0.198,0.263,0.0,0.0,0.0,0.225,0.0
0.36,0.024,0.032,0.0,0.0,0.0,0.017,0.0,0.176
0.007,0.275,0.021,0.0,0.0,0.0,0.381,0.0,0.0
0.156,0.251,0.031,0.002,0.193,0.0,0.0,0.0,0.0
0.0,0.259,0.0,0.168,0.0,0.0,0.0,0.246,0.0
0.0,0.0,0.174,0.392,0.181,0.0,0.08,0.0,0.0
0.221,0.0,0.244,0.0,0.0,0.019,0.263,0.0,0.0
0.313,0.03,0.019,0.0,0.0,0.0,0.032,0.0,0.0
0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059,0.023,0.302,0.0,0.0,0.007,0.067,0.226,0.0
0.0,0.0,0.179,0.42,0.184,0.0,0.0,0.233,0.0
0.141,0.0,0.177,0.428,0.0,0.0,0.0,0.0,0.0
0.024,0.304,0.043,0.0,0.0,0.0,0.048,0.0,0.0
0.0,0.226,0.0,0.0,0.328,0.138,0.309,0.0,0.0
0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.241
0.0,0.259,0.0,0.252,0.0,0.0,0.0,0.227,0.0
0.366,0.0,0.187,0.0,0.323,0.015,0.0,0.248,0.0
0.0,0.017,0.267,0.0,0.021,0.0,0.18,0.033,0.525
0.0,0.0,0.196,0.019,0.0,0.0,0.226,0.221,0.0
0.008,0.296,0.0,0.0,0.074,0.0,0.351,0.286,0.125
0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.329,0.021
0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.217,0.019,0.356,0.0,0.324,0.031,0.066,0.222,0.0
0.367,0.0,0.158,0.311,0.169,0.025,0.0,0.0,0.0
0.0,0.0,0.198,0.263,0.0,0.0,0.0,0.225,0.0
0.409,0.012,0.306,0.289,0.175,0.008,0.0,0.0,0.0
0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.315,0.0,0.246,0.008,0.187,0.03,0.0,0.0,0.0
0.338,0.0,0.246,0.0,0.154,0.571,0.116,0.0,0.0
0.0,0.26,0.0,0.0,0.0,0.0,0.107,0.014,0.0
